bank,name,network,joining_fee,annual_fee,reward_type,base_reward_rate,best_reward_rate,best_category,lounge_domestic,lounge_international,forex_markup,min_income_lpa,segment,rating,best_for,lifetime_free,is_cashback,is_miles,has_both_lounge,is_lifetime_free,forex_low,fee_tier,segment_encoded
SBI Card,BPCL SBI Card OCTANE,Mastercard,1499,1499,Reward Points,0.25,7.25,BPCL fuel stations,True,False,3.5,8,Mid,4.7,Travel|Fuel|Food,False,0,0,0,0,0,Mid,2
SBI Card,SBI Card PULSE,Visa,1499,1499,Reward Points,0.5,2.5,Movies/Dining/Pharmacy,True,False,3.5,6,Mid,4.5,Travel|Shopping|Health,False,0,0,0,0,0,Mid,2
SBI Card,SimplySAVE UPI RuPay,RuPay,499,499,Reward Points,0.17,1.7,Movies/Grocery/Dining,False,False,3.5,3,Entry,4.6,Shopping,False,0,0,0,0,0,Entry,0
SBI Card,IndiGo SBI Credit Card,Mastercard,1499,1499,Air Miles,0.25,0.75,IndiGo app/web,True,False,3.5,6,Mid,4.5,Travel,False,0,1,0,0,0,Mid,2
SBI Card,IndiGo SBI ELITE Credit Card,Mastercard,4999,4999,Air Miles,0.5,1.75,IndiGo app/web,True,True,3.5,12,Premium,4.5,Travel,False,0,1,1,0,0,Premium,4
SBI Card,Apollo SBI SELECT Credit Card,Mastercard,1499,1499,Reward Points,0.5,10.0,Apollo 24|7 App,True,False,3.5,6,Mid,4.6,Travel|Shopping|Health,False,0,0,0,0,0,Mid,2
SBI Card,IRCTC SBI RuPay Credit Card,RuPay,500,500,Reward Points,0.8,10.0,IRCTC train bookings,False,False,3.5,3,Entry,4.3,Travel,False,0,0,0,0,0,Entry,0
SBI Card,Reliance SBI Card,Visa,499,499,Reward Points,0.25,1.25,Reliance Retail stores,False,False,3.5,3,Entry,4.3,Shopping,False,0,0,0,0,0,Entry,0
SBI Card,IRCTC SBI Card Premier,Mastercard,1499,1499,Reward Points,0.8,2.4,Dining & utility,False,False,3.5,6,Mid,4.3,Travel,False,0,0,0,0,0,Mid,2
SBI Card,SBI MILES Credit Card,Mastercard,1499,1499,Travel Credits,0.5,1.0,Travel spends,True,False,3.5,6,Mid,4.4,Travel,False,0,0,0,0,0,Mid,2
SBI Card,SBI Prime Credit Card,Mastercard,2999,2999,Reward Points,0.5,2.5,Dining/Grocery/Dept,True,True,3.5,10,Premium,4.4,Travel|Shopping,False,0,0,1,0,0,Premium,4
SBI Card,Titan SBI Credit Card,Mastercard,2999,2999,Reward Points,1.5,7.5,Titan brand stores,True,True,3.5,10,Premium,4.4,Shopping,False,0,0,1,0,0,Premium,4
SBI Card,Landmark Rewards SBI PRIME,Visa,2999,2999,Reward Points,0.5,6.25,Landmark stores,True,True,3.5,10,Premium,4.5,Travel|Shopping,False,0,0,1,0,0,Premium,4
SBI Card,Landmark Rewards SBI SELECT,Visa,1499,1499,Reward Points,0.5,3.75,Landmark stores,True,False,3.5,6,Mid,4.5,Shopping,False,0,0,0,0,0,Mid,2
SBI Card,Landmark Rewards SBI Card,Visa,499,499,Reward Points,0.25,2.5,Landmark stores,False,False,3.5,3,Entry,4.4,Shopping,False,0,0,0,0,0,Entry,0
SBI Card,SBI AURUM Credit Card,Mastercard,9999,9999,Reward Points,1.0,4.0,All eligible spends,True,True,1.99,20,Super Premium,4.2,Movies|Travel|Dining,False,0,0,1,0,1,Super Premium,5
SBI Card,Reliance SBI Card PRIME,Visa,2999,2999,Reward Points,0.5,2.5,Reliance stores,True,True,3.5,10,Premium,4.6,Shopping,False,0,0,1,0,0,Premium,4
SBI Card,KrisFlyer SBI Credit Card,Mastercard,2999,2999,KrisFlyer Miles,0.5,2.5,Singapore Airlines,True,True,3.5,10,Premium,4.5,Travel,False,0,1,1,0,0,Premium,4
SBI Card,SBI ELITE Credit Card,Mastercard,4999,4999,Reward Points,0.5,2.5,Dining/Grocery/Dept,True,True,1.99,15,Premium,4.4,Movies|Travel|Shopping,False,0,0,1,0,1,Premium,4
SBI Card,SBI MILES PRIME Credit Card,Mastercard,2999,2999,Travel Credits,1.0,2.0,Travel spends,True,True,3.5,10,Premium,4.5,Travel,False,0,0,1,0,0,Premium,4
SBI Card,SBI Miles Elite Credit Card,Mastercard,4999,4999,Travel Credits,1.0,3.0,Travel spends,True,True,3.5,15,Premium,4.5,Travel,False,0,0,1,0,0,Premium,4
SBI Card,KrisFlyer SBI Card Apex,Mastercard,9999,9999,KrisFlyer Miles,2.0,5.0,Singapore Airlines,True,True,3.5,20,Super Premium,4.6,Travel,False,0,1,1,0,0,Super Premium,5
SBI Card,SBI Shaurya Credit Card,Mastercard,250,250,Reward Points,0.25,1.25,Grocery/Dining/CSD,False,False,3.5,2,Entry,4.5,Shopping,False,0,0,0,0,0,Entry,0
SBI Card,SBI Shaurya Select Credit Card,Mastercard,0,1499,Reward Points,0.5,2.5,Dining/Grocery/Movies,True,False,3.5,6,Mid,4.5,Travel|Shopping,False,0,0,0,0,0,Mid,2
SBI Card,Doctor's IMA SBI Card,Mastercard,1499,1499,Reward Points,0.25,1.25,Medical supplies,True,False,3.5,8,Mid,4.5,Travel,False,0,0,0,0,0,Mid,2
Axis Bank,Flipkart Axis Bank Credit Card,Visa,0,0,Cashback,1.0,7.5,Flipkart/Myntra,False,False,3.5,3,Entry,4.6,Shopping,True,1,0,0,1,0,Free,0
Axis Bank,Horizon Credit Card,Mastercard,3000,3000,EDGE Miles,2.0,5.0,Travel spends,True,True,2.0,10,Mid-Premium,4.7,Travel,False,0,1,1,0,1,Premium,3
Axis Bank,Airtel Axis Bank Credit Card,Visa,500,500,Cashback,1.0,25.0,Airtel recharges,False,False,3.5,3,Entry,4.8,Utility|Food,False,1,0,0,0,0,Entry,0
Axis Bank,IndianOil Axis Bank Premium,Mastercard,1000,1000,EDGE Miles,1.0,4.0,IndianOil outlets,False,False,3.5,4,Entry-Mid,4.5,Fuel,False,0,1,0,0,0,Mid,1
Axis Bank,Axis Bank Cashback Credit Card,Visa,1000,1000,Cashback,0.5,7.0,Online purchases,False,False,3.5,4,Entry-Mid,4.5,Shopping,False,1,0,0,0,0,Mid,1
Axis Bank,Magnus Credit Card,Mastercard,10000,10000,EDGE Miles,3.33,10.0,All spends 10X,True,True,2.0,25,Super Premium,4.8,Travel|Shopping|Dining,False,0,1,1,0,1,Super Premium,5
Axis Bank,Reserve Credit Card,Mastercard,50000,50000,EDGE Miles,3.33,10.0,All eligible spends,True,True,1.5,100,Super Premium,4.7,Travel|Dining|Luxury,False,0,1,1,0,1,Super Premium,5
Axis Bank,Neo Credit Card,Mastercard,250,250,Reward Points,0.5,2.0,Online shopping,False,False,3.5,3,Entry,4.3,Shopping,False,0,0,0,0,0,Entry,0
Axis Bank,Ace Credit Card,Visa,499,499,Cashback,1.0,5.0,Google Pay bills,False,False,3.5,3,Entry,4.6,Utility|Shopping,False,1,0,0,0,0,Entry,0
Axis Bank,MY Zone Credit Card,Mastercard,500,500,Reward Points,1.0,5.0,Zomato + movies,False,False,3.5,3,Entry,4.4,Food|Entertainment,False,0,0,0,0,0,Entry,0
Axis Bank,Air India Axis Bank Infinite,Mastercard,10000,10000,Air Miles,1.0,4.0,Air India bookings,True,True,2.0,20,Premium,4.5,Travel,False,0,1,1,0,1,Super Premium,4
Axis Bank,Privilege Credit Card,Mastercard,1500,1500,EDGE Miles,2.0,5.0,All eligible spends,True,True,2.0,10,Mid,4.4,Travel|Shopping,False,0,1,1,0,1,Mid,2
ICICI Bank,Amazon Pay ICICI Bank Credit Card,Visa,0,0,Cashback,1.0,5.0,Amazon Prime,False,False,3.5,3,Entry,5.0,Shopping,True,1,0,0,1,0,Free,0
ICICI Bank,Emeralde Private Metal Credit Card,Visa,12499,12499,Reward Points,3.0,6.0,All eligible spends,True,True,2.0,100,Super Premium,4.6,Travel|Shopping,False,0,0,1,0,1,Super Premium,5
ICICI Bank,Times Black Credit Card,Mastercard,20000,20000,Reward Points,2.0,2.5,International spends,True,True,2.0,100,Super Premium,4.5,Travel|Shopping,False,0,0,1,0,1,Super Premium,5
ICICI Bank,Coral Credit Card,Visa,500,500,Reward Points,2.0,4.0,All eligible spends,True,False,3.5,5,Entry-Mid,4.3,Shopping|Movies,False,0,0,0,0,0,Entry,1
ICICI Bank,Sapphiro Credit Card,Visa,6500,6500,Reward Points,2.0,6.0,All eligible spends,True,True,2.5,15,Premium,4.4,Travel|Dining|Shopping,False,0,0,1,0,0,Super Premium,4
ICICI Bank,Rubyx Credit Card,Mastercard,2000,2000,Reward Points,2.0,4.0,All eligible spends,True,False,3.5,8,Mid,4.3,Travel|Shopping,False,0,0,0,0,0,Premium,2
ICICI Bank,MakeMyTrip ICICI Signature,Mastercard,2500,2500,Reward Points,1.5,4.0,MakeMyTrip bookings,True,True,3.5,8,Mid-Premium,4.4,Travel,False,0,0,1,0,0,Premium,3
IDFC FIRST Bank,FIRST Classic Credit Card,Visa,0,0,Reward Points,1.5,5.0,Spends above 20K/mo,False,False,3.5,3,Entry,4.5,Shopping|Travel,True,0,0,0,1,0,Free,0
IDFC FIRST Bank,FIRST Select Credit Card,Visa,0,0,Reward Points,1.5,5.0,Spends above 20K/mo,True,False,1.5,5,Mid,4.4,Travel|Shopping,True,0,0,0,1,1,Free,2
IDFC FIRST Bank,FIRST Wealth Credit Card,Mastercard,0,0,Reward Points,1.5,5.0,Spends above 20K/mo,True,True,1.5,12,Mid-Premium,4.5,Travel|Shopping,True,0,0,1,1,1,Free,3
IDFC FIRST Bank,Ashva Metal Credit Card,Mastercard,2999,2999,Reward Points,1.0,6.67,Spends above 20K (10X),True,True,1.0,12,Premium,4.7,Travel|Shopping,False,0,0,1,0,1,Premium,4
IDFC FIRST Bank,Mayura Credit Card,Mastercard,5999,5999,Reward Points,1.0,6.67,Spends above 20K (10X),True,True,1.0,20,Super Premium,4.8,Movies|Travel|Shopping,False,0,0,1,0,1,Super Premium,5
IDFC FIRST Bank,HPCL Power Plus Credit Card,Visa,0,0,Reward Points,1.0,6.5,HPCL fuel stations,False,False,3.5,3,Entry,4.4,Fuel,True,0,0,0,1,0,Free,0
AU Small Finance Bank,LIT Credit Card,Visa,0,0,Reward Points,1.0,10.0,Paid categories,True,False,3.5,3,Entry,4.5,Shopping,True,0,0,0,1,0,Free,0
AU Small Finance Bank,Altura Credit Card,Visa,0,0,Reward Points,1.0,2.0,All spends,False,False,3.5,3,Entry,4.3,Shopping,True,0,0,0,1,0,Free,0
AU Small Finance Bank,Altura Plus Credit Card,Visa,999,999,Reward Points,1.5,5.0,All spends,True,False,3.5,5,Entry-Mid,4.4,Travel|Shopping,False,0,0,0,0,0,Mid,1
AU Small Finance Bank,Xcite Credit Card,Visa,4999,4999,Reward Points,3.33,10.0,Travel spends,True,True,2.0,15,Premium,4.5,Travel|Shopping,False,0,0,1,0,1,Premium,4
AU Small Finance Bank,Vetta Credit Card,Visa,2999,2999,Reward Points,2.0,5.0,All eligible spends,True,True,2.0,10,Mid-Premium,4.4,Travel|Shopping,False,0,0,1,0,1,Premium,3
Federal Bank / BOBCARD,Scapia Credit Card,Visa,0,0,Scapia Coins,2.0,20.0,Travel bookings,True,False,0.0,3,Entry-Mid,4.7,Travel|Shopping,True,0,1,0,1,1,Free,1
IndusInd Bank,EazyDiner IndusInd Platinum,Mastercard,0,0,Reward Points,2.0,4.0,Dining spends,False,False,3.5,3,Entry,4.5,Dining|Food,True,0,0,0,1,0,Free,0
IndusInd Bank,Legend Credit Card,Visa,9999,9999,Reward Points,3.0,5.0,All eligible spends,True,True,1.8,20,Super Premium,4.5,Travel|Dining|Shopping,False,0,0,1,0,1,Super Premium,5
IndusInd Bank,Pinnacle Credit Card,Visa,2999,2999,Reward Points,2.0,6.0,All eligible spends,True,True,2.0,10,Premium,4.4,Travel|Shopping,False,0,0,1,0,1,Premium,4
IndusInd Bank,Platinum Credit Card,Visa,0,0,Reward Points,1.0,3.0,All eligible spends,False,False,3.5,3,Entry,4.2,Shopping,True,0,0,0,1,0,Free,0
American Express,Membership Rewards Credit Card,Amex,1500,4500,Membership Rewards,0.5,5.0,All spends 5X SmartEarn,False,False,3.5,6,Mid,4.6,Shopping|Dining,False,0,0,0,0,0,Premium,2
American Express,Platinum Travel Credit Card,Amex,3500,5000,Membership Rewards,1.0,5.0,Travel bookings 5X,True,False,3.5,8,Mid-Premium,4.6,Travel,False,0,0,0,0,0,Premium,3
American Express,Gold Credit Card,Amex,1000,4999,Membership Rewards,1.0,5.0,All spends 5X SmartEarn,False,False,3.5,5,Mid,4.4,Shopping|Dining,False,0,0,0,0,0,Premium,2
American Express,Platinum Charge Card,Amex,60000,60000,Membership Rewards,1.0,5.0,All eligible spends,True,True,2.0,100,Super Premium,4.8,Travel|Luxury|Dining,False,0,0,1,0,1,Super Premium,5
HSBC Bank,Live+ Credit Card,Visa,999,999,Cashback,1.5,10.0,Dining & lifestyle,True,False,3.5,5,Entry-Mid,4.5,Dining|Food|Shopping,False,1,0,0,0,0,Mid,1
HSBC Bank,Premier Credit Card,Mastercard,0,0,Reward Points,1.0,5.0,All eligible spends,True,True,2.0,20,Premium,4.4,Travel|Shopping,True,0,0,1,1,1,Free,4
Kotak Mahindra Bank,811 Dream Credit Card,Mastercard,0,0,Reward Points,1.0,2.0,All eligible spends,False,False,3.5,3,Entry,4.2,Shopping,True,0,0,0,1,0,Free,0
Kotak Mahindra Bank,League Platinum Credit Card,Visa,499,499,Reward Points,1.0,4.0,All eligible spends,False,False,3.5,3,Entry,4.3,Shopping,False,0,0,0,0,0,Entry,0
Kotak Mahindra Bank,White Reserve Credit Card,Visa,3000,3000,Reward Points,1.0,6.0,All eligible spends,True,True,2.0,10,Premium,4.4,Travel|Lifestyle,False,0,0,1,0,1,Premium,4
Standard Chartered,Manhattan Platinum Card,Mastercard,999,999,Cashback,0.5,5.0,Supermarkets/dining,False,False,3.5,4,Entry,4.3,Shopping|Dining,False,1,0,0,0,0,Mid,0
Standard Chartered,Smart Credit Card,Mastercard,0,499,Cashback,1.0,5.0,Online spends,True,False,3.5,5,Entry,4.4,Shopping,False,1,0,0,0,0,Entry,0
Yes Bank,YES FIRST Preferred Credit Card,Mastercard,2999,2999,Reward Points,2.0,8.0,All eligible spends,True,True,2.0,10,Mid-Premium,4.4,Travel|Shopping,False,0,0,1,0,1,Premium,3
Yes Bank,YES FIRST Exclusive Credit Card,Mastercard,9999,9999,Reward Points,3.0,12.0,All eligible spends,True,True,1.75,20,Super Premium,4.5,Travel|Luxury,False,0,0,1,0,1,Super Premium,5
RBL Bank,Shoprite Credit Card,Mastercard,500,500,Cashback,0.5,5.0,Groceries/online,False,False,3.5,3,Entry,4.2,Shopping|Grocery,False,1,0,0,0,0,Entry,0
Federal Bank,Signet Credit Card,Visa,0,499,Reward Points,1.0,3.0,All eligible spends,False,False,3.5,3,Entry,4.2,Shopping,False,0,0,0,0,0,Entry,0
Bank of Baroda,Eterna Credit Card,Mastercard,2499,2499,Reward Points,1.0,6.0,All eligible spends,True,True,2.0,8,Mid-Premium,4.3,Travel|Shopping,False,0,0,1,0,1,Premium,3
Bank of Baroda,Premier Credit Card,Visa,999,999,Reward Points,1.0,3.0,All eligible spends,True,False,3.5,5,Entry-Mid,4.2,Shopping,False,0,0,0,0,0,Mid,1
PNB,Pride Platinum Credit Card,RuPay,500,500,Reward Points,1.0,3.0,All spends,False,False,3.5,3,Entry,4.0,Shopping,False,0,0,0,0,0,Entry,0
Union Bank,RuPay Select Credit Card,RuPay,0,0,Reward Points,1.0,2.0,All spends,False,False,3.5,3,Entry,4.0,Shopping,True,0,0,0,1,0,Free,0
Canara Bank,Platinum Credit Card,Visa,500,500,Reward Points,1.0,2.0,All spends,False,False,3.5,3,Entry,3.9,Shopping,False,0,0,0,0,0,Entry,0
