bank,name,network,joining_fee,annual_fee,reward_type,base_reward_rate,best_reward_rate,best_category,lounge_domestic,lounge_international,forex_markup,min_income_lpa,segment,rating,best_for,lifetime_free,is_cashback,is_miles,has_both_lounge,is_lifetime_free,forex_low,fee_tier,segment_encoded,content
SBI Card,Tata Neu Plus SBI Credit Card,RuPay,499,499,NeuCoins,1.0,2.0,Tata Neu + brands,True,False,3.5,3,Entry,4.4,Travel|Shopping,False,0,1,0,0,0,Entry,0,SBI Card Tata Neu Plus SBI Credit Card NeuCoins Travel|Shopping Entry Tata Neu + brands
SBI Card,BPCL SBI Credit Card,Mastercard,499,499,Reward Points,0.25,3.25,BPCL fuel stations,False,False,3.5,3,Entry,4.6,Fuel,False,0,0,0,0,0,Entry,0,SBI Card BPCL SBI Credit Card Reward Points Fuel Entry BPCL fuel stations
SBI Card,PhonePe SBI SELECT BLACK,Mastercard,1499,1499,Reward Points,1.0,10.0,PhonePe spends,True,True,3.5,8,Mid,4.8,Shopping|Utility,False,0,0,1,0,0,Mid,2,SBI Card PhonePe SBI SELECT BLACK Reward Points Shopping|Utility Mid PhonePe spends
SBI Card,Tata Neu Infinity SBI Credit Card,RuPay,1499,1499,NeuCoins,1.5,5.0,Tata Neu + brands,True,False,1.99,6,Mid,4.5,Travel|Shopping,False,0,1,0,0,1,Mid,2,SBI Card Tata Neu Infinity SBI Credit Card NeuCoins Travel|Shopping Mid Tata Neu + brands
SBI Card,BPCL SBI Card OCTANE,Mastercard,1499,1499,Reward Points,0.25,7.25,BPCL fuel stations,True,False,3.5,8,Mid,4.7,Travel|Fuel|Food,False,0,0,0,0,0,Mid,2,SBI Card BPCL SBI Card OCTANE Reward Points Travel|Fuel|Food Mid BPCL fuel stations
SBI Card,SBI Card PULSE,Visa,1499,1499,Reward Points,0.5,2.5,Movies/Dining/Pharmacy,True,False,3.5,6,Mid,4.5,Travel|Shopping|Health,False,0,0,0,0,0,Mid,2,SBI Card SBI Card PULSE Reward Points Travel|Shopping|Health Mid Movies/Dining/Pharmacy
SBI Card,SimplySAVE UPI RuPay,RuPay,499,499,Reward Points,0.17,1.7,Movies/Grocery/Dining,False,False,3.5,3,Entry,4.6,Shopping,False,0,0,0,0,0,Entry,0,SBI Card SimplySAVE UPI RuPay Reward Points Shopping Entry Movies/Grocery/Dining
SBI Card,IndiGo SBI Credit Card,Mastercard,1499,1499,Air Miles,0.25,0.75,IndiGo app/web,True,False,3.5,6,Mid,4.5,Travel,False,0,1,0,0,0,Mid,2,SBI Card IndiGo SBI Credit Card Air Miles Travel Mid IndiGo app/web
SBI Card,IndiGo SBI ELITE Credit Card,Mastercard,4999,4999,Air Miles,0.5,1.75,IndiGo app/web,True,True,3.5,12,Premium,4.5,Travel,False,0,1,1,0,0,Premium,4,SBI Card IndiGo SBI ELITE Credit Card Air Miles Travel Premium IndiGo app/web
SBI Card,Apollo SBI SELECT Credit Card,Mastercard,1499,1499,Reward Points,0.5,10.0,Apollo 24|7 App,True,False,3.5,6,Mid,4.6,Travel|Shopping|Health,False,0,0,0,0,0,Mid,2,SBI Card Apollo SBI SELECT Credit Card Reward Points Travel|Shopping|Health Mid Apollo 24|7 App
SBI Card,IRCTC SBI RuPay Credit Card,RuPay,500,500,Reward Points,0.8,10.0,IRCTC train bookings,False,False,3.5,3,Entry,4.3,Travel,False,0,0,0,0,0,Entry,0,SBI Card IRCTC SBI RuPay Credit Card Reward Points Travel Entry IRCTC train bookings
SBI Card,Reliance SBI Card,Visa,499,499,Reward Points,0.25,1.25,Reliance Retail stores,False,False,3.5,3,Entry,4.3,Shopping,False,0,0,0,0,0,Entry,0,SBI Card Reliance SBI Card Reward Points Shopping Entry Reliance Retail stores
SBI Card,IRCTC SBI Card Premier,Mastercard,1499,1499,Reward Points,0.8,2.4,Dining & utility,False,False,3.5,6,Mid,4.3,Travel,False,0,0,0,0,0,Mid,2,SBI Card IRCTC SBI Card Premier Reward Points Travel Mid Dining & utility
SBI Card,SBI MILES Credit Card,Mastercard,1499,1499,Travel Credits,0.5,1.0,Travel spends,True,False,3.5,6,Mid,4.4,Travel,False,0,0,0,0,0,Mid,2,SBI Card SBI MILES Credit Card Travel Credits Travel Mid Travel spends
SBI Card,SBI Prime Credit Card,Mastercard,2999,2999,Reward Points,0.5,2.5,Dining/Grocery/Dept,True,True,3.5,10,Premium,4.4,Travel|Shopping,False,0,0,1,0,0,Premium,4,SBI Card SBI Prime Credit Card Reward Points Travel|Shopping Premium Dining/Grocery/Dept
SBI Card,Titan SBI Credit Card,Mastercard,2999,2999,Reward Points,1.5,7.5,Titan brand stores,True,True,3.5,10,Premium,4.4,Shopping,False,0,0,1,0,0,Premium,4,SBI Card Titan SBI Credit Card Reward Points Shopping Premium Titan brand stores
SBI Card,Landmark Rewards SBI PRIME,Visa,2999,2999,Reward Points,0.5,6.25,Landmark stores,True,True,3.5,10,Premium,4.5,Travel|Shopping,False,0,0,1,0,0,Premium,4,SBI Card Landmark Rewards SBI PRIME Reward Points Travel|Shopping Premium Landmark stores
SBI Card,Landmark Rewards SBI SELECT,Visa,1499,1499,Reward Points,0.5,3.75,Landmark stores,True,False,3.5,6,Mid,4.5,Shopping,False,0,0,0,0,0,Mid,2,SBI Card Landmark Rewards SBI SELECT Reward Points Shopping Mid Landmark stores
SBI Card,Landmark Rewards SBI Card,Visa,499,499,Reward Points,0.25,2.5,Landmark stores,False,False,3.5,3,Entry,4.4,Shopping,False,0,0,0,0,0,Entry,0,SBI Card Landmark Rewards SBI Card Reward Points Shopping Entry Landmark stores
SBI Card,SBI AURUM Credit Card,Mastercard,9999,9999,Reward Points,1.0,4.0,All eligible spends,True,True,1.99,20,Super Premium,4.2,Movies|Travel|Dining,False,0,0,1,0,1,Super Premium,5,SBI Card SBI AURUM Credit Card Reward Points Movies|Travel|Dining Super Premium All eligible spends
SBI Card,Reliance SBI Card PRIME,Visa,2999,2999,Reward Points,0.5,2.5,Reliance stores,True,True,3.5,10,Premium,4.6,Shopping,False,0,0,1,0,0,Premium,4,SBI Card Reliance SBI Card PRIME Reward Points Shopping Premium Reliance stores
SBI Card,KrisFlyer SBI Credit Card,Mastercard,2999,2999,KrisFlyer Miles,0.5,2.5,Singapore Airlines,True,True,3.5,10,Premium,4.5,Travel,False,0,1,1,0,0,Premium,4,SBI Card KrisFlyer SBI Credit Card KrisFlyer Miles Travel Premium Singapore Airlines
SBI Card,SBI ELITE Credit Card,Mastercard,4999,4999,Reward Points,0.5,2.5,Dining/Grocery/Dept,True,True,1.99,15,Premium,4.4,Movies|Travel|Shopping,False,0,0,1,0,1,Premium,4,SBI Card SBI ELITE Credit Card Reward Points Movies|Travel|Shopping Premium Dining/Grocery/Dept
SBI Card,SBI MILES PRIME Credit Card,Mastercard,2999,2999,Travel Credits,1.0,2.0,Travel spends,True,True,3.5,10,Premium,4.5,Travel,False,0,0,1,0,0,Premium,4,SBI Card SBI MILES PRIME Credit Card Travel Credits Travel Premium Travel spends
SBI Card,SBI Miles Elite Credit Card,Mastercard,4999,4999,Travel Credits,1.0,3.0,Travel spends,True,True,3.5,15,Premium,4.5,Travel,False,0,0,1,0,0,Premium,4,SBI Card SBI Miles Elite Credit Card Travel Credits Travel Premium Travel spends
SBI Card,KrisFlyer SBI Card Apex,Mastercard,9999,9999,KrisFlyer Miles,2.0,5.0,Singapore Airlines,True,True,3.5,20,Super Premium,4.6,Travel,False,0,1,1,0,0,Super Premium,5,SBI Card KrisFlyer SBI Card Apex KrisFlyer Miles Travel Super Premium Singapore Airlines
SBI Card,SBI Shaurya Credit Card,Mastercard,250,250,Reward Points,0.25,1.25,Grocery/Dining/CSD,False,False,3.5,2,Entry,4.5,Shopping,False,0,0,0,0,0,Entry,0,SBI Card SBI Shaurya Credit Card Reward Points Shopping Entry Grocery/Dining/CSD
SBI Card,SBI Shaurya Select Credit Card,Mastercard,0,1499,Reward Points,0.5,2.5,Dining/Grocery/Movies,True,False,3.5,6,Mid,4.5,Travel|Shopping,False,0,0,0,0,0,Mid,2,SBI Card SBI Shaurya Select Credit Card Reward Points Travel|Shopping Mid Dining/Grocery/Movies
SBI Card,Doctor's IMA SBI Card,Mastercard,1499,1499,Reward Points,0.25,1.25,Medical supplies,True,False,3.5,8,Mid,4.5,Travel,False,0,0,0,0,0,Mid,2,SBI Card Doctor's IMA SBI Card Reward Points Travel Mid Medical supplies
Axis Bank,Flipkart Axis Bank Credit Card,Visa,0,0,Cashback,1.0,7.5,Flipkart/Myntra,False,False,3.5,3,Entry,4.6,Shopping,True,1,0,0,1,0,Free,0,Axis Bank Flipkart Axis Bank Credit Card Cashback Shopping Entry Flipkart/Myntra
Axis Bank,Horizon Credit Card,Mastercard,3000,3000,EDGE Miles,2.0,5.0,Travel spends,True,True,2.0,10,Mid-Premium,4.7,Travel,False,0,1,1,0,1,Premium,3,Axis Bank Horizon Credit Card EDGE Miles Travel Mid-Premium Travel spends
Axis Bank,Airtel Axis Bank Credit Card,Visa,500,500,Cashback,1.0,25.0,Airtel recharges,False,False,3.5,3,Entry,4.8,Utility|Food,False,1,0,0,0,0,Entry,0,Axis Bank Airtel Axis Bank Credit Card Cashback Utility|Food Entry Airtel recharges
Axis Bank,IndianOil Axis Bank Premium,Mastercard,1000,1000,EDGE Miles,1.0,4.0,IndianOil outlets,False,False,3.5,4,Entry-Mid,4.5,Fuel,False,0,1,0,0,0,Mid,1,Axis Bank IndianOil Axis Bank Premium EDGE Miles Fuel Entry-Mid IndianOil outlets
Axis Bank,Axis Bank Cashback Credit Card,Visa,1000,1000,Cashback,0.5,7.0,Online purchases,False,False,3.5,4,Entry-Mid,4.5,Shopping,False,1,0,0,0,0,Mid,1,Axis Bank Axis Bank Cashback Credit Card Cashback Shopping Entry-Mid Online purchases
Axis Bank,Magnus Credit Card,Mastercard,10000,10000,EDGE Miles,3.33,10.0,All spends 10X,True,True,2.0,25,Super Premium,4.8,Travel|Shopping|Dining,False,0,1,1,0,1,Super Premium,5,Axis Bank Magnus Credit Card EDGE Miles Travel|Shopping|Dining Super Premium All spends 10X
Axis Bank,Reserve Credit Card,Mastercard,50000,50000,EDGE Miles,3.33,10.0,All eligible spends,True,True,1.5,100,Super Premium,4.7,Travel|Dining|Luxury,False,0,1,1,0,1,Super Premium,5,Axis Bank Reserve Credit Card EDGE Miles Travel|Dining|Luxury Super Premium All eligible spends
Axis Bank,Neo Credit Card,Mastercard,250,250,Reward Points,0.5,2.0,Online shopping,False,False,3.5,3,Entry,4.3,Shopping,False,0,0,0,0,0,Entry,0,Axis Bank Neo Credit Card Reward Points Shopping Entry Online shopping
Axis Bank,Ace Credit Card,Visa,499,499,Cashback,1.0,5.0,Google Pay bills,False,False,3.5,3,Entry,4.6,Utility|Shopping,False,1,0,0,0,0,Entry,0,Axis Bank Ace Credit Card Cashback Utility|Shopping Entry Google Pay bills
Axis Bank,MY Zone Credit Card,Mastercard,500,500,Reward Points,1.0,5.0,Zomato + movies,False,False,3.5,3,Entry,4.4,Food|Entertainment,False,0,0,0,0,0,Entry,0,Axis Bank MY Zone Credit Card Reward Points Food|Entertainment Entry Zomato + movies
Axis Bank,Air India Axis Bank Infinite,Mastercard,10000,10000,Air Miles,1.0,4.0,Air India bookings,True,True,2.0,20,Premium,4.5,Travel,False,0,1,1,0,1,Super Premium,4,Axis Bank Air India Axis Bank Infinite Air Miles Travel Premium Air India bookings
Axis Bank,Privilege Credit Card,Mastercard,1500,1500,EDGE Miles,2.0,5.0,All eligible spends,True,True,2.0,10,Mid,4.4,Travel|Shopping,False,0,1,1,0,1,Mid,2,Axis Bank Privilege Credit Card EDGE Miles Travel|Shopping Mid All eligible spends
ICICI Bank,Amazon Pay ICICI Bank Credit Card,Visa,0,0,Cashback,1.0,5.0,Amazon Prime,False,False,3.5,3,Entry,5.0,Shopping,True,1,0,0,1,0,Free,0,ICICI Bank Amazon Pay ICICI Bank Credit Card Cashback Shopping Entry Amazon Prime
ICICI Bank,Emeralde Private Metal Credit Card,Visa,12499,12499,Reward Points,3.0,6.0,All eligible spends,True,True,2.0,100,Super Premium,4.6,Travel|Shopping,False,0,0,1,0,1,Super Premium,5,ICICI Bank Emeralde Private Metal Credit Card Reward Points Travel|Shopping Super Premium All eligible spends
ICICI Bank,Times Black Credit Card,Mastercard,20000,20000,Reward Points,2.0,2.5,International spends,True,True,2.0,100,Super Premium,4.5,Travel|Shopping,False,0,0,1,0,1,Super Premium,5,ICICI Bank Times Black Credit Card Reward Points Travel|Shopping Super Premium International spends
ICICI Bank,Coral Credit Card,Visa,500,500,Reward Points,2.0,4.0,All eligible spends,True,False,3.5,5,Entry-Mid,4.3,Shopping|Movies,False,0,0,0,0,0,Entry,1,ICICI Bank Coral Credit Card Reward Points Shopping|Movies Entry-Mid All eligible spends
ICICI Bank,Sapphiro Credit Card,Visa,6500,6500,Reward Points,2.0,6.0,All eligible spends,True,True,2.5,15,Premium,4.4,Travel|Dining|Shopping,False,0,0,1,0,0,Super Premium,4,ICICI Bank Sapphiro Credit Card Reward Points Travel|Dining|Shopping Premium All eligible spends
ICICI Bank,Rubyx Credit Card,Mastercard,2000,2000,Reward Points,2.0,4.0,All eligible spends,True,False,3.5,8,Mid,4.3,Travel|Shopping,False,0,0,0,0,0,Premium,2,ICICI Bank Rubyx Credit Card Reward Points Travel|Shopping Mid All eligible spends
ICICI Bank,MakeMyTrip ICICI Signature,Mastercard,2500,2500,Reward Points,1.5,4.0,MakeMyTrip bookings,True,True,3.5,8,Mid-Premium,4.4,Travel,False,0,0,1,0,0,Premium,3,ICICI Bank MakeMyTrip ICICI Signature Reward Points Travel Mid-Premium MakeMyTrip bookings
IDFC FIRST Bank,FIRST Classic Credit Card,Visa,0,0,Reward Points,1.5,5.0,Spends above 20K/mo,False,False,3.5,3,Entry,4.5,Shopping|Travel,True,0,0,0,1,0,Free,0,IDFC FIRST Bank FIRST Classic Credit Card Reward Points Shopping|Travel Entry Spends above 20K/mo
IDFC FIRST Bank,FIRST Select Credit Card,Visa,0,0,Reward Points,1.5,5.0,Spends above 20K/mo,True,False,1.5,5,Mid,4.4,Travel|Shopping,True,0,0,0,1,1,Free,2,IDFC FIRST Bank FIRST Select Credit Card Reward Points Travel|Shopping Mid Spends above 20K/mo
IDFC FIRST Bank,FIRST Wealth Credit Card,Mastercard,0,0,Reward Points,1.5,5.0,Spends above 20K/mo,True,True,1.5,12,Mid-Premium,4.5,Travel|Shopping,True,0,0,1,1,1,Free,3,IDFC FIRST Bank FIRST Wealth Credit Card Reward Points Travel|Shopping Mid-Premium Spends above 20K/mo
IDFC FIRST Bank,Ashva Metal Credit Card,Mastercard,2999,2999,Reward Points,1.0,6.67,Spends above 20K (10X),True,True,1.0,12,Premium,4.7,Travel|Shopping,False,0,0,1,0,1,Premium,4,IDFC FIRST Bank Ashva Metal Credit Card Reward Points Travel|Shopping Premium Spends above 20K (10X)
IDFC FIRST Bank,Mayura Credit Card,Mastercard,5999,5999,Reward Points,1.0,6.67,Spends above 20K (10X),True,True,1.0,20,Super Premium,4.8,Movies|Travel|Shopping,False,0,0,1,0,1,Super Premium,5,IDFC FIRST Bank Mayura Credit Card Reward Points Movies|Travel|Shopping Super Premium Spends above 20K (10X)
IDFC FIRST Bank,HPCL Power Plus Credit Card,Visa,0,0,Reward Points,1.0,6.5,HPCL fuel stations,False,False,3.5,3,Entry,4.4,Fuel,True,0,0,0,1,0,Free,0,IDFC FIRST Bank HPCL Power Plus Credit Card Reward Points Fuel Entry HPCL fuel stations
AU Small Finance Bank,LIT Credit Card,Visa,0,0,Reward Points,1.0,10.0,Paid categories,True,False,3.5,3,Entry,4.5,Shopping,True,0,0,0,1,0,Free,0,AU Small Finance Bank LIT Credit Card Reward Points Shopping Entry Paid categories
AU Small Finance Bank,Altura Credit Card,Visa,0,0,Reward Points,1.0,2.0,All spends,False,False,3.5,3,Entry,4.3,Shopping,True,0,0,0,1,0,Free,0,AU Small Finance Bank Altura Credit Card Reward Points Shopping Entry All spends
AU Small Finance Bank,Altura Plus Credit Card,Visa,999,999,Reward Points,1.5,5.0,All spends,True,False,3.5,5,Entry-Mid,4.4,Travel|Shopping,False,0,0,0,0,0,Mid,1,AU Small Finance Bank Altura Plus Credit Card Reward Points Travel|Shopping Entry-Mid All spends
AU Small Finance Bank,Xcite Credit Card,Visa,4999,4999,Reward Points,3.33,10.0,Travel spends,True,True,2.0,15,Premium,4.5,Travel|Shopping,False,0,0,1,0,1,Premium,4,AU Small Finance Bank Xcite Credit Card Reward Points Travel|Shopping Premium Travel spends
AU Small Finance Bank,Vetta Credit Card,Visa,2999,2999,Reward Points,2.0,5.0,All eligible spends,True,True,2.0,10,Mid-Premium,4.4,Travel|Shopping,False,0,0,1,0,1,Premium,3,AU Small Finance Bank Vetta Credit Card Reward Points Travel|Shopping Mid-Premium All eligible spends
Federal Bank / BOBCARD,Scapia Credit Card,Visa,0,0,Scapia Coins,2.0,20.0,Travel bookings,True,False,0.0,3,Entry-Mid,4.7,Travel|Shopping,True,0,1,0,1,1,Free,1,Federal Bank / BOBCARD Scapia Credit Card Scapia Coins Travel|Shopping Entry-Mid Travel bookings
IndusInd Bank,EazyDiner IndusInd Platinum,Mastercard,0,0,Reward Points,2.0,4.0,Dining spends,False,False,3.5,3,Entry,4.5,Dining|Food,True,0,0,0,1,0,Free,0,IndusInd Bank EazyDiner IndusInd Platinum Reward Points Dining|Food Entry Dining spends
IndusInd Bank,Legend Credit Card,Visa,9999,9999,Reward Points,3.0,5.0,All eligible spends,True,True,1.8,20,Super Premium,4.5,Travel|Dining|Shopping,False,0,0,1,0,1,Super Premium,5,IndusInd Bank Legend Credit Card Reward Points Travel|Dining|Shopping Super Premium All eligible spends
IndusInd Bank,Pinnacle Credit Card,Visa,2999,2999,Reward Points,2.0,6.0,All eligible spends,True,True,2.0,10,Premium,4.4,Travel|Shopping,False,0,0,1,0,1,Premium,4,IndusInd Bank Pinnacle Credit Card Reward Points Travel|Shopping Premium All eligible spends
IndusInd Bank,Platinum Credit Card,Visa,0,0,Reward Points,1.0,3.0,All eligible spends,False,False,3.5,3,Entry,4.2,Shopping,True,0,0,0,1,0,Free,0,IndusInd Bank Platinum Credit Card Reward Points Shopping Entry All eligible spends
American Express,Membership Rewards Credit Card,Amex,1500,4500,Membership Rewards,0.5,5.0,All spends 5X SmartEarn,False,False,3.5,6,Mid,4.6,Shopping|Dining,False,0,0,0,0,0,Premium,2,American Express Membership Rewards Credit Card Membership Rewards Shopping|Dining Mid All spends 5X SmartEarn
American Express,Platinum Travel Credit Card,Amex,3500,5000,Membership Rewards,1.0,5.0,Travel bookings 5X,True,False,3.5,8,Mid-Premium,4.6,Travel,False,0,0,0,0,0,Premium,3,American Express Platinum Travel Credit Card Membership Rewards Travel Mid-Premium Travel bookings 5X
American Express,Gold Credit Card,Amex,1000,4999,Membership Rewards,1.0,5.0,All spends 5X SmartEarn,False,False,3.5,5,Mid,4.4,Shopping|Dining,False,0,0,0,0,0,Premium,2,American Express Gold Credit Card Membership Rewards Shopping|Dining Mid All spends 5X SmartEarn
American Express,Platinum Charge Card,Amex,60000,60000,Membership Rewards,1.0,5.0,All eligible spends,True,True,2.0,100,Super Premium,4.8,Travel|Luxury|Dining,False,0,0,1,0,1,Super Premium,5,American Express Platinum Charge Card Membership Rewards Travel|Luxury|Dining Super Premium All eligible spends
HSBC Bank,Live+ Credit Card,Visa,999,999,Cashback,1.5,10.0,Dining & lifestyle,True,False,3.5,5,Entry-Mid,4.5,Dining|Food|Shopping,False,1,0,0,0,0,Mid,1,HSBC Bank Live+ Credit Card Cashback Dining|Food|Shopping Entry-Mid Dining & lifestyle
